File_name,File_path,LOC,LLOC,SLOC,Halstead_Volume,CC,h,N,calculated_length,Buggy
test_chain.py,C:\dataset\click-master\tests\test_chain.py,252,161,197,475.0263282,30,46,86,234.4773318,Y
test_commands.py,C:\dataset\click-master\tests\test_commands.py,255,168,194,650.4157238,31,65,108,356.4747308,Y
test_compat.py,C:\dataset\click-master\tests\test_compat.py,25,19,19,41.51317942,7,11,12,28.7548875,Y
test_context.py,C:\dataset\click-master\tests\test_context.py,205,146,147,448.8812252,25,54,78,283.587975,Y
test_defaults.py,C:\dataset\click-master\tests\test_defaults.py,46,29,37,118.5925704,7,21,27,75.60964047,Y
test_formatting.py,C:\dataset\click-master\tests\test_formatting.py,214,80,148,291.7293885,17,37,56,177.7286241,Y
test_imports.py,C:\dataset\click-master\tests\test_imports.py,56,19,44,41.51317942,7,11,12,27.65148445,Y
test_normalization.py,C:\dataset\click-master\tests\test_normalization.py,39,28,27,25.2661943,4,7,9,15.509775,Y
test_options.py,C:\dataset\click-master\tests\test_options.py,363,254,280,1187.984312,71,97,180,603.9182631,Y
test_termui.py,C:\dataset\click-master\tests\test_termui.py,71,52,52,55.50659577,7,13,15,36.52932501,Y
